0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:31 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:33 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:01 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:01 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:01 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:13:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:41 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:41 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:41 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:41 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:14:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:55 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:55 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:55 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:55 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:16:56 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5053
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:42 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:42 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:42 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:42 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:17:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5053
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:28 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:59 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:59 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:59 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:19:59 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:20:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:05 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:05 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:05 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:05 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:28:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5253
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:36:58 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:36:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:36:58 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:36:58 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:36:58 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 69178
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:44:35 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:44:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:44:35 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 69178
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:44:35 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:44:35 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 75250
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:46:45 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:46:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:46:45 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:46:45 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:46:45 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:55:59 +0900] "GET /BBS/ HTTP/1.1" 200 172
